Town,Year,PropertyType,NumSales,MedianSale,AvgSalesRatio
Ansonia,2014.0,Condo,8,135750.0,1.007408973
Ansonia,2014.0,Four Family,4,208750.0,0.6726462428333333
Ansonia,2014.0,Single Family,138,162500.0,0.8910704667010869
Ansonia,2014.0,Three Family,11,183750.0,0.7865784442666667
Ansonia,2014.0,Two Family,43,81875.0,1.457620609907576
Ansonia,2014.0,nan,13,145000.0,1.2486251986624999
Ansonia,2015.0,Condo,6,55550.0,1.2913281315
Ansonia,2015.0,Four Family,2,152500.0,1.133428308
Ansonia,2015.0,Single Family,164,155000.0,1.2134188952195122
Ansonia,2015.0,Three Family,10,159500.0,0.7989494553
Ansonia,2015.0,Two Family,62,108500.0,0.9994825064032258
Ansonia,2015.0,nan,14,159500.0,1.2497041662857142
Ansonia,2016.0,Condo,10,150500.0,0.7561344369
Ansonia,2016.0,Four Family,3,160000.0,0.6823618316666668
Ansonia,2016.0,Single Family,193,166500.0,0.9866077129896373
Ansonia,2016.0,Three Family,12,211700.0,0.5975498754166667
Ansonia,2016.0,Two Family,50,144950.0,0.9230466991
Ansonia,2016.0,nan,23,220000.0,1.0169949907391305
Ansonia,2017.0,Condo,3,120000.0,0.7736333333333333
Ansonia,2017.0,Four Family,5,195000.0,0.6711198972
Ansonia,2017.0,Single Family,196,175000.0,0.8634850623826531
Ansonia,2017.0,Three Family,18,183000.0,0.8065991895555555
Ansonia,2017.0,Two Family,59,174000.0,1.8833399929322034
Ansonia,2017.0,nan,11,89900.0,3.205284533272727
Ansonia,2018.0,Condo,5,115000.0,0.57958
Ansonia,2018.0,Four Family,2,225000.0,0.9053
Ansonia,2018.0,Single Family,171,192000.0,1.0109771174619882
Ansonia,2018.0,Three Family,17,260000.0,0.7767126050588234
Ansonia,2018.0,Two Family,59,196000.0,0.8042248906101694
Ansonia,2018.0,nan,12,92500.0,2.2467675840833334
Ansonia,2019.0,Condo,9,116000.0,0.61379375
Ansonia,2019.0,Four Family,2,294500.0,0.4949
Ansonia,2019.0,Single Family,156,197500.0,0.7400249493038462
Ansonia,2019.0,Three Family,24,217775.0,1.0863991425227273
Ansonia,2019.0,Two Family,52,192500.0,0.759088006258315
Ansonia,2019.0,nan,13,325000.0,0.9998166666666665
Ansonia,2020.0,Commercial,2,162500.0,1.0244499999999999
Ansonia,2020.0,Condo,4,126000.0,0.57975
Ansonia,2020.0,Four Family,2,285000.0,0.5426
Ansonia,2020.0,Residential,102,250000.0,0.6017996016764705
Ansonia,2020.0,Single Family,122,207705.75,0.7035007926829269
Ansonia,2020.0,Three Family,6,248500.0,0.6812875
Ansonia,2020.0,Two Family,42,215000.0,1.0683533724340175
Ansonia,2020.0,Vacant Land,2,47500.0,1.0091999999999999
Ansonia,2020.0,nan,17,49950.0,3.138512878787879
Ansonia,2021.0,Apartments,3,600000.0,0.4604333333333333
Ansonia,2021.0,Commercial,9,400000.0,1.1262160173333333
Ansonia,2021.0,Industrial,1,550000.0,0.46
Ansonia,2021.0,Residential,330,260000.0,0.5307518434787879
Ansonia,2021.0,Vacant Land,11,65000.0,1.1329477185454546
Ansonia,2022.0,Apartments,3,600000.0,0.6943333333333334
Ansonia,2022.0,Commercial,9,288725.0,0.6684430263000001
